rabinkarp_time,rabinkarp_memory,rabinkarp_iterations,kmp_time,kmp_memory,kmp_iterations
0.0004189000464975834,368.0,288.0,0.00024800002574920654,368.0,344.0
0.0004187999293208122,144.0,298.0,0.0002578999847173691,144.0,361.0
0.00043659983202815056,144.0,308.0,0.00026299990713596344,144.0,371.0
0.0004626000300049782,272.0,318.0,0.0002747001126408577,272.0,381.0
0.0004804003983736038,208.0,328.0,0.00028249993920326233,208.0,391.0
0.0007773004472255707,272.0,338.0,0.00044430000707507133,272.0,414.0
0.0007747998461127281,240.0,348.0,0.0002983999438583851,240.0,410.0
0.0005284999497234821,304.0,358.0,0.00037189992144703865,304.0,435.0
0.0007612998597323895,240.0,368.0,0.00047000031918287277,240.0,433.0
0.00056089973077178,304.0,378.0,0.00033059995621442795,304.0,452.0
0.0005768998526036739,272.0,388.0,0.00048320041969418526,272.0,465.0
0.0005852002650499344,208.0,398.0,0.00035089999437332153,208.0,479.0
0.0006109001114964485,272.0,408.0,0.00035189976915717125,272.0,474.0
0.0006439997814595699,240.0,418.0,0.00040739960968494415,240.0,507.0
0.0006401999853551388,272.0,428.0,0.00038560014218091965,272.0,523.0
0.0006530000828206539,368.0,438.0,0.00040289992466568947,368.0,530.0
0.0006802002899348736,464.0,448.0,0.0005133999511599541,464.0,542.0
0.0007751001976430416,432.0,458.0,0.00040670018643140793,432.0,540.0
0.0007482999935746193,432.0,468.0,0.00047919992357492447,432.0,556.0
0.0007238001562654972,304.0,478.0,0.00043800007551908493,304.0,578.0
0.0007388000376522541,272.0,488.0,0.0004251999780535698,272.0,573.0
0.0007643001154065132,272.0,498.0,0.00045579997822642326,272.0,601.0
0.0007747998461127281,272.0,508.0,0.0004790998063981533,272.0,599.0
0.0007910002022981644,432.0,518.0,0.000467000063508749,432.0,615.0
0.0008022002875804901,368.0,528.0,0.0005668001249432564,368.0,616.0
0.0009290003217756748,464.0,538.0,0.0006289002485573292,464.0,662.0
0.0010551000013947487,368.0,548.0,0.0005377000197768211,368.0,658.0
0.0009197001345455647,464.0,558.0,0.0005085999146103859,464.0,673.0
0.000864899717271328,304.0,568.0,0.0005056001245975494,304.0,677.0
0.0009030001237988472,272.0,578.0,0.0005315998569130898,272.0,705.0
0.0008999998681247234,304.0,588.0,0.0005926000885665417,304.0,715.0
0.0009205001406371593,272.0,598.0,0.0005532996729016304,272.0,731.0
0.00091890012845397,272.0,608.0,0.000547800213098526,272.0,730.0
0.0009442996233701706,368.0,618.0,0.0005752998404204845,368.0,749.0
0.000961600337177515,432.0,628.0,0.0005624000914394855,432.0,747.0
0.0009773001074790955,272.0,638.0,0.0005805999971926212,272.0,770.0
0.0009872997179627419,272.0,648.0,0.000551300123333931,272.0,749.0
0.0010170000605285168,400.0,658.0,0.0005910000763833523,400.0,777.0
0.001024200115352869,304.0,668.0,0.0005949996411800385,304.0,793.0
0.0010318998247385025,368.0,678.0,0.0005928999744355679,368.0,799.0
0.0010501001961529255,240.0,688.0,0.0006242003291845322,240.0,832.0
0.0010958998464047909,400.0,698.0,0.000642700120806694,400.0,833.0
0.0011745002120733261,464.0,708.0,0.0006225001998245716,464.0,824.0
0.001104199793189764,400.0,718.0,0.0006586997769773006,400.0,863.0
0.0011450001038610935,688.0,728.0,0.000676299910992384,688.0,871.0
0.0011709998361766338,272.0,738.0,0.0006841998547315598,272.0,878.0
0.0011485996656119823,432.0,748.0,0.000674000009894371,432.0,893.0
0.0011621001176536083,240.0,758.0,0.0006936998106539249,240.0,910.0
0.0012066001072525978,304.0,768.0,0.0006935996934771538,304.0,919.0
0.0011916998773813248,304.0,778.0,0.0007080999203026295,304.0,938.0
0.001223099883645773,592.0,788.0,0.0007197000086307526,592.0,933.0
0.0013125999830663204,432.0,798.0,0.000746600329875946,432.0,967.0
0.0012827999889850616,400.0,808.0,0.0007063001394271851,400.0,947.0
0.0012607998214662075,368.0,818.0,0.0007523000240325928,368.0,974.0
0.001291200052946806,368.0,828.0,0.0007271002978086472,368.0,971.0
0.0012929001823067665,464.0,838.0,0.0007432000711560249,464.0,975.0
0.001315300352871418,432.0,848.0,0.000825200229883194,432.0,1018.0
0.001982599962502718,592.0,858.0,0.0011812001466751099,592.0,998.0
0.002011599950492382,400.0,868.0,0.0008681998588144779,400.0,1037.0
